	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g02750	769	908	575	332	201	213
gene:Bcin01g02760	52	85	37	12	10	13
gene:Bcin01g02770	703	889	598	953	1230	947
gene:Bcin01g02780	1580	1842	1372	2782	3996	2834
gene:Bcin01g02790	629	693	912	823	2430	772
gene:Bcin01g02800	1028	1148	980	1772	2470	1020
gene:Bcin01g02810	266	293	247	196	185	160
gene:Bcin01g02820	50	55	37	42	43	18
gene:Bcin01g02830	1048	1172	867	976	1126	912
gene:Bcin01g02840	384	385	362	517	723	536
gene:Bcin01g02850	30	40	25	18	15	4
gene:Bcin01g02860	4	8	7	11	18	11
gene:Bcin01g02870	292	275	241	303	391	227
gene:Bcin01g02880	4406	5173	2334	1690	2371	1789
gene:Bcin01g02890	249	262	178	783	1170	382
gene:Bcin01g02900	373	409	214	329	369	245
gene:Bcin01g02910	1258	1694	865	815	792	623
gene:Bcin01g02920	219	122	119	168	437	152
gene:Bcin01g02930	605	565	474	578	455	429
gene:Bcin01g02940	580	420	655	137	472	110
gene:Bcin01g02950	241	237	194	207	200	151
gene:Bcin01g02960	855	959	934	869	750	623
gene:Bcin01g02970	615	576	501	330	547	344
gene:Bcin01g02980	513	577	506	452	423	334
gene:Bcin01g02990	488	556	510	614	539	457
gene:Bcin01g03000	15570	17975	13401	22570	17195	16294
gene:Bcin01g03010	652	772	553	664	484	385
gene:Bcin01g03020	2755	4324	1460	1819	1633	1718
gene:EFBcG00000013385	0	0	0	0	0	0
gene:ENSRNA049534777	0	0	0	0	0	0
gene:Bcin01g03030	408	379	333	321	224	227
gene:Bcin01g03040	6	2	4	4	3	4
gene:Bcin01g03050	938	911	952	475	605	347
gene:Bcin01g03060	1533	1457	1509	1046	1092	749
gene:Bcin01g03070	127	153	119	165	136	123
gene:Bcin01g03080	13	9	3	8	2	3
gene:Bcin01g03090	0	0	2	0	2	1
gene:Bcin01g03100	2	0	0	0	0	1
gene:Bcin01g03110	1788	1986	1619	2207	1636	1534
gene:Bcin01g03120	2783	2508	2323	94	49	36
gene:Bcin01g03130	359	380	354	366	249	240
gene:Bcin01g03140	207	223	173	145	98	107
gene:Bcin01g03150	106	157	106	149	102	115
gene:Bcin01g03160	2971	3150	3357	1017	787	743
gene:Bcin01g03170	839	1034	871	644	666	586
gene:Bcin01g03180	584	613	435	200	125	105
gene:Bcin01g03190	1956	1957	432	997	5558	2596
gene:Bcin01g03200	9764	11937	6835	15256	18428	15059
gene:ENSRNA049512637	0	0	0	0	0	0
gene:EFBcG00000013209	0	0	0	0	0	0
gene:Bcin01g03210	1099	1108	973	1095	1424	1376
gene:Bcin01g03220	664	620	516	573	417	402
gene:Bcin01g03230	1294	1575	1168	1104	1019	847
gene:Bcin01g03240	344	309	179	16	19	22
gene:Bcin01g03250	288	328	249	362	251	226
gene:Bcin01g03260	919	1259	886	809	697	674
gene:Bcin01g03270	40	78	34	2096	4495	2510
gene:Bcin01g03280	0	1	0	17	8	9
gene:Bcin01g03290	89	98	42	71	55	47
gene:Bcin01g03300	4	5	4	11	6	11
gene:Bcin01g03310	5	10	5	3	4	5
gene:Bcin01g03320	6	5	5	28	19	25
gene:Bcin01g03330	1	0	0	0	0	1
gene:Bcin01g03340	0	0	0	0	0	1
gene:Bcin01g03350	1	1	0	8	9	6
gene:Bcin01g03360	0	0	0	4	1	4
gene:Bcin01g03370	13	14	6	3	2	3
gene:Bcin01g03380	3	3	2	0	1	1
gene:Bcin01g03390	3283	3884	2671	1947	1295	1195
gene:Bcin01g03400	38	54	27	122	154	145
gene:Bcin01g03410	474	481	477	537	542	427
gene:Bcin01g03420	684	612	770	326	251	288
gene:Bcin01g03430	95	98	74	98	47	53
gene:Bcin01g03440	3721	4010	3184	2654	2041	1908
gene:Bcin01g03450	0	0	0	0	1	1
gene:Bcin01g03460	582	619	582	709	597	529
gene:Bcin01g03470	2113	2567	2282	2594	2930	1874
gene:Bcin01g03480	1426	1894	1295	3487	4144	2698
gene:Bcin01g03490	1042	1109	1062	1479	1617	1149
gene:Bcin01g03500	3229	3652	2808	3227	4559	2763
gene:Bcin01g03510	7	7	4	3	14	9
gene:Bcin01g03520	14	10	4	17	96	35
gene:Bcin01g03530	102	148	75	49	59	54
gene:Bcin01g03540	74	81	58	53	47	53
gene:Bcin01g03550	1	0	0	0	0	0
gene:Bcin01g03560	1	0	1	0	0	0
gene:Bcin01g03570	41	49	34	21	29	23
gene:Bcin01g03580	588	644	459	831	492	369
gene:Bcin01g03590	348	372	304	341	218	214
gene:Bcin01g03600	284	323	257	365	278	255
gene:Bcin01g03610	488	553	460	393	302	263
gene:Bcin01g03620	18	19	12	11	14	19
gene:Bcin01g03630	320	370	336	264	261	273
gene:Bcin01g03640	10783	15163	9528	16611	16497	14008
gene:Bcin01g03650	303	449	276	479	408	290
gene:Bcin01g03660	851	892	782	734	605	493
gene:Bcin01g03670	47	77	59	61	63	53
gene:Bcin01g03680	117	115	100	199	141	130
gene:Bcin01g03690	266	254	248	227	134	153
gene:Bcin01g03700	1	0	0	0	0	0
gene:Bcin01g03710	847	985	746	235	213	243
gene:Bcin01g03720	98	106	81	21	32	31
gene:Bcin01g03730	1186	1255	819	144	132	152
gene:Bcin01g03740	838	1043	701	193	192	191
gene:Bcin01g03750	695	882	507	636	491	401
gene:Bcin01g03760	67	72	61	46	45	24
gene:Bcin01g03770	39	30	26	25	24	28
